,name,description,category
582,Arsenal: Who knew that football could be so much fun?,"Arsenal’s match against Newcastle was something no Arsenal match has been in ages—it was fun. And nowhere will you see a better example of the spectrum this club is possible of. Coming off a tragically boring Burnley match, the Emirates had some empty seats. More than some. Arsenal were clearly making their point. This hasn’t been fun.",Sports
54,The best restaurants in Brixton,"A melting pot of different cultures while proudly flying the flag for Caribbean cuisine, Brixton offers all foods for all budgets. Boxparks to indoor markets, railway arches and old laundry buildings - the settings are as varied as the food is. You can get a salt cod patty or a gourmet meal within steps of each other, and there's no need to ...",World
449,The Station: Lucid Motors spy shot and the birth of an AV startup,"Hello again — or perhaps for the first time. This is Kirsten Korosec, senior transportation reporter at TechCrunch and your host here at The Station. This weekly newsletter will also be posted as an article after the weekend — that's what you're reading now. To get it first, subscribe for free. Please note that there will not be a ...",ScienceAndTechnology
386,Sadiq Khan launches £50m 'green new deal' fund in pitch to Green Party voters,Sadiq Khan has been trumpeting his green credentials in the past month in an attempt to win over people likely to vote for Green candidate Sian Berry. (via Getty Images) Sadiq Khan has created a £50m fund for green energy projects in a direct appeal to Green Party voters in the lead up to the mayoral election. The mayor of London today ...,Politics
488,"UCL unveils fast-charging, long-running, bendy energy storage breakthrough","The findings, published in Nature Energy, explains how the research team has overcome the main issues that impacts supercapacitors, namely that they usually cannot hold a large amount of energy in a small space. First author of the study, Dr Zhuangnan Li (UCL Chemistry), said: ""Our new supercapacitor is extremely promising for next-generation ...",ScienceAndTechnology
108,Public-sector employment ‘set to rise’ as austerity eases,"The number of public sector jobs is set to rise for the first time in more than a decade as the government eases austerity, according to the national body for human resources professionals. The Chartered Institute for Personnel and Development expects employment in the sector to rise in line with the private sector, as employers respond to the ...",Business
602,Henderson Eels Fights Hard in 3-3 Encounter with Lae City,Lae City and Henderson delivered an OFC Champions League classic with a high-scoring draw at a white-hot Luganville Soccer City Stadium. Both teams had their time with the lead in a match where three penalties were awarded. Papua New Guinea’s Lae opened the scoring through Emmanuel Simon in the opening minutes but Henderson didn’t drop ...,Sports
572,"Sussex ace Jordan helps England to thrilling T20 series win ... Evans, Head and Wyatt in form with bat","Sussex’s Chris Jordan had a solid IT20 series with England in South Africa – and was delighted to help Eoin Morgan’s side to a thrilling 2-1 series win. After drawing the ODI series, England made a real statement by winning the series with the T20 World Cup eight months away. Jordan started well with the ball, taking 2-28 at the first T20 ...",Sports
384,YUSU refrains from taking stance on UCU strikes,"In YUSU's recent student survey to gauge student opinions on the upcoming UCU industrial action, a total of 13 votes separated students wanting YUSU to support the strikes, and students wanting to oppose them. 47 per cent of those polled opted to support the strike while 45 per cent were in opposition. With a margin so close, YUSU officers have ...",Politics
254,Schools offering nurture to transform children's lives,"SCHOOLS are running a range of programmes to improve pupils' emotional wellbeing. Education Correspondent Simon Doyle reports on the emergence of `nurture' and how it helps young people develop. MENTAL health problems often reveal themselves early in life. The sooner they are addressed, the better the outcomes. Schools are playing a more ...",Health
190,"McGoldrick, McCusker and Doyle offer Emsworth date","At the tender age of six promoter Mark Ringwood’s son William spotted the potential of musician Michael McGoldrick who performs in Emsworth on Thursday, February 20. “We were at the finals of the BBC Young Folk Musician of the Year Awards in London and William turned to me and said that’s the man whose going to win!” Marks recalls.",Entertainment
462,'I thought a huge comet was going to hit the earth' - Fireball spotted over Norfolk,"People from across the county took to social media to describe the event, as the skies were lit up at around 9.50pm on Sunday, February 16. Astronomy group the UK Meteor Network describes a fireball as a bright meteor streaking across the sky. As of 10.30pm on Sunday, it had received 21 reports of the phenomenon - three-and-a-half times more ...",ScienceAndTechnology
509,James O'Brien's theory about why trolls thrive online,"As James O'Brien wraps his head around why trolls thrive online, he comes up with a solution to the problem - although social media platforms might not follow his advice... Caller Jane equated being a troll to being in the pub and saying something offensive and instead of outrage, everyone encourages her to say it louder. James went further ...",ScienceAndTechnology
482,Changing face of policing with new focus on crime fighting in digital age,"As chief constable I am regularly asked to speak at conferences, public meetings and private functions. Whenever possible I use these opportunities to talk about how proud I am to now lead the force I joined in 1986, but more importantly I talk about the changing face of crime in Norfolk. I regularly pose the question: ""How many houses do you ...",ScienceAndTechnology
478,Watch Otter-ly adorable trio play together in Lincoln,"Otters were caught on camera frolicking by the edge of the Brayford Pool in Lincoln on Sunday night. A reader sent footage to The Lincolnite, which was filmed by Andrew Walker, of otters that appeared to have been disturbed by the recent flooding in Lincoln. The otters were seen playing by the edge of the pool and in the water before another ...",ScienceAndTechnology
89,Singapore Airlines share price: where next after strong Q3?,"The Singapore Airlines (SIA) Group saw share price ascend 0.7% on Monday 17 February, after posting solid third quarter results for its 2019/2020 fiscal year last Friday 14 February. Group revenue for the quarter was at a record high of S$4.47 billion ...",Business
654,Family escape fire at Stamford Hill home,You may also want to watch: Four engines and about 25 firefighters were called to Kyverdale Road at 2.20pm on Friday after a room at the rear of the terraced property went up in flames. Luckily no one was injured and fire crews have spoken of the importance of having a working smoke alarm installed. The fire was under control within an hour.,UK
284,Hundreds of babies across Bristol at risk of catching measles due to missed vaccinations,"Hundreds of babies across Bristol are at risk of catching measles - after missing their vaccinatons. More than 800 babies across Bristol, North Somerset and South Gloucestershire were left vulnerable to catching measles after NHS figures revealed they were not vaccinated against the disease. The latest official statistics show the uptake for ...",Health
427,New Rapid EV Charge Points Appear in Cardiff,"A transformation in the way people travel around Cardiff has begun with the rollout of a new network of rapid charging points for electric cars. Engenie, the UK’s fastest growing rapid electric vehicle (EV) charging operator, has installed its first two rapid EV charge points in Cardiff city centre as part of a wider rollout that will more ...",ScienceAndTechnology
186,Caroline Flack’s Close Friend Olly Murs Pays Heartbreaking Tribute To Former X Factor Co-Star: ‘I Haven’t Stopped Crying’,"Olly Murs has posted an emotional message about the tragic loss of his good friend Caroline Flack, describing her as “like a sister”. After the shocking death of former Love Island host Caroline Flack on Saturday 15 February, Olly Murs posted a heartfelt tribute to the 40-year-old, saying he “hasn’t stopped crying.” Alongside a photo ...",Entertainment
181,New Releases: Schumann: Symphonies Nos. 1 & 3 – LSO; BACH 48 – George Lepauw,"Throughout the week Classic FM’s presenters bring you the best new recordings, including world exclusives and premiere broadcasts of latest releases. This week: Schumann: Symphonies Nos. 1 & 3 – by the London Symphony Orchestra and BACH 48 by George Lepauw. John Suchet's Album of the Week. Picture: Classic FM John Suchet plays a track from ...",Entertainment
608,"Odion Ighalo can replace Romelu Lukaku’s goals for Manchester United, says Nwankwo Kanu","Manchester United’s January transfer window loan signing Odion Ighalo is ready to join up with the team, and compatriot Nwankwo Kanu feels he can make his mark felt at Old Trafford. The Nigerian international signed for Ole Gunnar Solskjaer’s team from Shanghai Shenhua on deadline day, but has had to wait to be involved with the first team ...",Sports
700,Electrical heater causes blaze at Royston shop,"You may also want to watch: An electrical heater was the cause of the fire at Barbara's Flower shop in High Street. Emergency services were called at 7.09am, and two fire engines from Royston Fire Station attended the scene. Crews used breathing apparatus and a hose reel to extinguish the fire.",UK
159,M*A*S*H star Kellye Nakahara dies aged 72,"Kellye Nakahara has died at the age of 72 (Picture: Getty, Fox) M*A*S*H star Kellye Nakahara has died at the age of 72, it has been reported. The actress died on Sunday (16 February) at her home in Pasadena, California following a short battle with cancer, TMZ reports. A family member told the website that the actress died ‘peacefully’.",Entertainment
597,Sheffield United look to avoid post-holiday hangover against Brighton and Hove Albion after Dubai trip,"Prince Abdullah joined Chris Wilder and his team in Dubai (Eoin Doyle/SUFC) United flew to the United Arab Emirates during their winter break, which came after their 2-1 victory over AFC Bournemouth in their last outing at Bramall Lane. Basham and Co. are back on home soil this weekend to face Graham Potter's Seagulls, who are 15th in the table ...",Sports
141,"Pitch Update: TfL pushes back ad pitches, Clipper briefs agencies","Adam & Eve/DDB, M&C Saatchi, Ogilvy and VCCP have been given an extra three weeks to prepare for the Transport for London pitch, which was due to take place this week. The statutory review began in August and is being run through the Official Journal of the European Union with the help of AAR. Pitches will now be during 24-25 February.",Business
166,Celebrities to become stand up comics in new Channel 4 show Stand Up and Deliver,Celebrities will turn their talents to comedy in a new Channel 4 show. Stand Up and Deliver will see five famous faces taking to the stage in an entertaining new format that sees them attempting to master the art of stand-up comedy. The show will follow the plucky celebrities as they are paired up with established comics who’ll mentor them ...,Entertainment
86,Global stocks fall after Apple warns on coronavirus impact,TOKYO (Reuters) - Asian shares fell and Wall Street retreated from record highs on Tuesday after Apple Inc (AAPL.O) said it will not meet its revenue guidance for the March quarter as the coronavirus outbreak slowed production and weakened demand in China. The warning from the most valuable company in the United States sobered investor optimism ...,Business
193,Mike Rowbottom: Liévin back in the big league and looking for another record du monde from Mondo,"When it was built in the mid-1980s, the Stade Couvert Régional in Liévin was billed as the largest and most modern sports hall in Europe. In 1987 it hosted the European Athletics Indoor Championships, after which its annual Pas-de-Calais meeting provided the sport with some of its outstanding moments for more than 20 years. In 2012, however ...",Entertainment
679,Another high end agent joins Keller Williams hybrid hub,"Another former Savills agent has joined freelance agency operation Keller Williams, the second in recent weeks. In January it was revealed that a senior ex-Savills figure - Tanya Blake, former head of country lettings - was setting up a market centre for Keller Williams. It is in Oxfordshire and is called KW Oxygen. Now it’s been revealed ...",UK
14,Trump health scare: New image sparks widespread mocking of President's medical condition,Republican congressman Kevin McCarthy posted a photo to Instagram of himself with Trump and colleagues at a dinner at the Trump International Hotel in Washington DC. Social media users immediately noticed the tired and jaded look of the US President compared to his smiling companions and couldn’t help but wonder what was wrong with “pops”.,World
2,At least 20 killed in stampede at handout for refugees in southeast Niger,"Fifteen women and five children were trampled to death on Monday in a stampede for food and money for refugees in southeast Niger, a regional governor said. The accident occurred at a youth and culture centre in Diffa, the main town of a region of the same ...",World
305,"Taking a nap makes you more productive, new study claims","To nap or not to nap, that is the question. It may seem counterproductive but the key to getting more done in your day may be taking a quick snooze, according to new research. A new study examined the napping preferences of 2,000 Americans and the personality traits associated with those who nap and those who don’t. The results showed that ...",Health
636,"Teen raped and murdered aspiring footballer Megan Newton, 18, after she had 'kindly offered him a place to stay' as he was worried about getting home","A teenager who raped and murdered an aspiring young footballer has been jailed for a minimum of 21 years. Megan Newton, 18, was found stabbed to death at her home in Stoke-on-Trent on April 20 last year. On Monday, Joseph Trevor, a 19-year-old student, admitted to killing Megan and pleaded guilty to two additional charges of rape. He was also ...",UK
653,Bradford to invest money back into its libraries in bid to 'improve city's wellbeing',"A major U-turn in funding Bradford's libraries could help 'improve residents' health and wellbeing', according to the council. Hundreds of thousands of pounds' worth of cuts were announced for Bradford's libraries last year, the biggest being a £1.05 chunk to be held back from its budget over the coming year. Bradford Council says its ...",UK
320,"""The pain has been unbearable"": Patients of suspended Leeds surgeon speak out","Mike Walsh had been working at the private Spire Healthcare's Leeds hospital until April 2018, when the company suspended him and started investigating concerns raised. Almost 50 of his patients have now been recalled for a review of the treatment they received, according to Spire. She continued to experience pain and received various steroid ...",Health
205,"Paddy McGuinness says 'no likey, no lighty' for last time as he bids farewell to Take Me Out","Paddy McGuinness has said ""for the last time it's lights out"" as he bade farewell to Take Me Out, which has been cancelled after 10 years. The TV presenter, who coined the catchphrase ""no likey, no lighty,"" on the show, has hosted the Saturday night ITV dating programme since it debuted in January 2010. ITV confirmed Take Me Out's cancellation ...",Entertainment
88,Coronavirus: Apple warns of iPhone shortage because of deadly virus,"Apple says it will not hit its quarterly earnings target after the coronavirus outbreak led to a cut in production of iPhones and a fall in demand in China. The company, based in California, said all of its production plants in China had reopened but were ...",Business
646,"I lied about wife’s death, ex-officer tells his murder trial","A retired police inspector accused of murdering his wife has changed his story during evidence and admitted struggling with her in their bedroom. Keith Farquharson, 60, said yesterday that the altercation began when she hit him and that he had lied when he claimed to have found her unconscious. He admitted affairs with three women and said that ...",UK
128,BT unveils new flexible TV packages in bid to beef up content offering,"BT today rolled out a string of new flexible TV packages as it looks to flex its muscles in the increasingly cut-throat content wars. The telecoms giant has unveiled a range of subscription options that allow customers to choose the TV shows, films and sport they want, with the flexibility to change their package each month. As part of the deal ...",Business
156,Love Island: Five couples face being dumped as show makes its return,"Five Love Island couples are up for being dumped from the villa in one of the final twists of the series. The ITV2 show returned to our screens on Monday following the shock news of host Caroline Flack’s death, which saw the show pulled from the air for two days to pay respect for the tragedy. But while the UK, including voice over Iain ...",Entertainment
596,"Love To See This From Marcelo Bielsa, Not Seen It Much If At All – Former Leeds Star",Former Leeds United star Ben Parker was delighted to see Whites head coach Marcelo Bielsa expressing his emotion and hugging Ezgjan Alioski after the game against Bristol City. The Yorkshire-based club brought their three-game winless run to an end with a hard-fought 1-0 win against Lee Johnson's Bristol City on Saturday. A 16th-minute goal ...,Sports
19,Coronavirus: 14 Americans repatriated from quarantined cruise ship test positive,"Fourteen US citizens who were evacuated from a quarantined cruise ship have been flown home - despite being found to have COVID-19 on the way to the airport. Two charter flights carrying some of the 380 Americans on board the Diamond Princess ship moored at Yokohama Port near Tokyo had left Japan for America on Sunday, the US State Department said.",World
315,Chinese student commits suicide in Saudi after being quarantined for coronavirus,The Health Directorate in the city of Jeddah announced on Saturday evening that a student living in the Kingdom of Saudi Arabia has committed suicide after being quarantined in hospital on suspicion of being infected with the coronavirus. “One of the students residing in the Kingdom arrived at King Fahad Hospital in Jeddah mediated by the Red ...,Health
681,Council to celebrate exceptional achievements in community,"A town councillor, students and a former mayor will be recognised at a civic service ceremony in Axbridge on March 1. Chair of the town council planning committee, Barbara Wells, will be gifted a civic award for her work with the women's institute and neighbourhood plan and forming Rumble In The Jungle in Axbridge. She has created costumes for ...",UK
153,Knightley says film 'Misbehaviour' highlights battle for equality,"LONDON (Reuters) - Keira Knightley said her new film “Misbehaviour”, the true story of how the Women’s Liberation Movement disrupted the 1970 Miss World competition, felt relevant at a time when people were still fighting for equal treatment. Knightley, 34, plays a member of the Women’s Liberation Movement, which storms the stage of the ...",Entertainment
544,‘I see about 36 to 38 points for Newcastle United at the end of the season but will it be enough?’,"Relegation for Newcastle United, surely not? Surely 31 points at this stage should be enough? Remember though, this is Newcastle United and anything is possible. For watchability we are the worst club in the Premiership, our goal threat is non-existent and we have all the ingredients of a relegation set up. The few positives are our central ...",Sports
418,Remote working is on trial in both China and Silicon Valley,"In China, coronavirus is forcing office workers to stay at home and adopt a range of online remote-working tools for the first time. But across the world in Silicon Valley, tech companies are doing the same thing — not to escape infection, but to aid recruitment and keep staff happy. The two trends — separate, yet simultaneous — are ...",ScienceAndTechnology
405,"Forget the HS2 hype, buses are Boris Johnson’s real masterstroke","Boris Johnson is about to spaff, as he likes to say, somewhere between £56 billion and $106bn on HS2, the high-speed rail network linking Birmingham and the north with London – but forget that, because he’s also finally funding buses. HS2 is politically problematic: whether you fund it or not, people will be pissed off. It’s a train ...",Politics
389,Boris Johnson defeated as House of Lords votes to reunite lone refugee children with families,"The Government has been heavily defeated in the Lords as peers backed a move to ensure the rights of unaccompanied child refugees to be reunited with their families in the UK post-Brexit. Voting was 300 to 220, majority 80, in report stage debate on the European Union (Withdrawal Agreement) Bill, which has already been passed by big majorities ...",Politics
581,Frank Lampard bemoans Chelsea's goal troubles,"Chelsea boss Frank Lampard bemoans his side's lack of cutting edge in attack following Monday's 2-0 loss to Chelsea. Michy Batshuayi, who replaced the injured Tammy Abraham in attack, struggled to make the most of a couple of good opportunities, and Lampard has bemoaned his side's problems in attacking areas. ""We're losing games where we have a ...",Sports
388,Scottish finance minister resigns on budget day amid messaging allegations,"Scotland’s finance minister resigned hours before he was due to deliver the government's budget, amid claims he had been sending messages to a 16-year-old boy. The Scottish National Party’s Derek Mackay announced he had quit his post Thursday morning. “I have behaved foolishly and am truly sorry,"" he said in a press statement. ""I ...",Politics
18,Can the US crack Huawei's hold on Africa?,"Between the UK’s decision on Huawei last month and Attorney General William Barr’s strange proposal that the US purchase Ericsson and Nokia, it is all too easy to get swept up in the Eurocentric furor surrounding the US–China trade war. But in Africa ...",World
126,Edinburgh consultancy Paragon boosts eco credentials with green investment service,Edinburgh-based building and project consultancy Paragon has launched a green investment service to help property investment funds set and attain specific environmental targets. Paragon said its proprietary two-stage service comprises a “green book” guide that enables funds to set standards and monitor new acquisitions against them.,Business
265,"Stroke Association Resolution Run Worthing 2020: routes, times, road closures and all you need to know","Whether you are taking part, volunteering or watching our guide will tell you everything you need to know about the Stroke Association Resolution Run. The resolution run is a 5k or 10k run held by Stroke Association in 33 locations across the United Kingdom. It costs £15 to sign up and participants are sponsored. The run raises vital funds for ...",Health
274,Nationwide’s new prize draw account encourages regular saving habits,Britain’s biggest building society has launched a new savings account that puts customers into a regular prize draw as well as paying interest. Nationwide Building Society said its new Start to Save account is particularly aimed at young people and families who may not have much of a nest egg built up currently or who are struggling to put ...,Health
298,"Coronavirus declared a 'serious and imminent threat to public health' as confirmed cases passes 68,000 - these are the signs and symptoms","The deadly coronavirus - officially named Covid-19 by the World Health organisation - has been declared by the government as a ""serious and imminent threat to public health"", as it introduced new powers to help deal with the spread. Under new measures announced on Monday (10 Feb), the Department of Health said that people with the virus can now ...",Health
523,Villa's Grealish continues to make his case for an England call-up,"(Reuters) - Aston Villa’s Jack Grealish has found out the hard way the consequences of being man-marked in the Premier League but despite the special attention afforded to him by Tottenham Hotspur on Sunday, he still put in a commanding performance. No player has won more fouls in Europe’s top five leagues than Grealish this season and the ...",Sports
417,A new and refreshed Cabinet – ready to deliver for Scotland,"Nicola Sturgeon has appointed a new and refreshed Scottish Cabinet – ready to deliver for Scotland. Our new cabinet illustrates our commitment to ensuring that Scotland’s government reflects Scotland’s society, with equal numbers of men and women, more young talent and the first Cabinet Secretary from a BAME background, Humza Yousaf.",Politics
100,One of Britain's best-known fund managers and key allies about to share windfall of up to £39m,"One of Britain's best-known fund managers and his key allies are about to share a windfall of up to £39m as Jupiter snaps up Merian Global Investors. Richard Buxton, who led the spin-out of Merian from Old Mutual in 2018, will together with four colleagues take a 1 per cent stake in asset manager Jupiter, currently worth £19m. The five top ...",Business
111,Parfetts grows team to support Go Local symbol expansion,"Cash and carry operator Parfetts has recruited 25 new staff to support plans to double the size of its Go Local symbol group to 1,000 members. It claims the Go Local and Go Local Extra fascias have already seen rapid expansion in recent months, but the group is now looking to accelerate that growth with the addition of five more business ...",Business
79,UK environmental consulting to be worth over £2 billion in 2021,The UK environmental consulting market is likely to shrug off Brexit anxieties to reach a size of £2 billion by 2021 – a year earlier than previously anticipated. A new study has found that while growth in the market has seen a notable slowdown since ...,Business
145,Brit Awards 2020: Behind-the-scenes of an after-party,"It's one of the biggest parties after one of the biggest award shows in music. The Brits Awards after-party hosted by record label Universal has, unsurprisingly, hosted some major names - from Taylor Swift and Ellie Goulding to Katy Perry and Lewis Capaldi. This year the likes of Billie Eilish, Sam Fender and Celeste will be in attendance.",Entertainment
376,Boris Johnson rolls back on scrapping TV licence fee amid backlash over BBC 'vendetta',"The Prime Minister had been tipped to ditch the 'tax' on TV viewers but Downing Street is now playing down a proposed move to a subscription model. Boris Johnson does not want to scrap ""all licence fees"" at this stage, Downing Street said as the Prime Minister faced a Tory backlash over a ""vendetta"" against the BBC. Conservative MP Huw Merriman ...",Politics
401,Emmerson begins socio-economic impact study for Khemisset project,"Emmerson has commenced a socio-economic impact study for its Khemisset potash project in Northern Morocco. The study is not officially required under any of the permitting processes in Morocco, but is designed, as is the practice for mining projects, to act as a tangible proof for the positive socio-economic impact of the project. It is ...",Politics
129,Coronavirus: the blow to the Chinese economy could be felt for years,"Investors are still being fairly complacent about the novel coronavirus. After the number of new daily cases suddenly shot up to more than 15,000 on February 12 following more than a week of decline, there were some jitters in the markets. With Chinese authorities saying the increase was due to a decision to broaden the definition for ...",Business
62,Royal Marines raid Norwegian fjords,"Royal Marines have been working with Norwegian troops storming shorelines on amphibious raids in the fjords of the Arctic Circle, according to the Ministry of Defence. Royal Marines Offshore Raiding Craft hit the beaches backed by landing craft before the joint forces “brought their fire and fury onto the land”. According to a press release ...",World
250,Domestic abuse is a public health issue that transcends the criminal justice system,Women who have suffered domestic abuse are 44 per cent more likely to die from any cause than the wider population – demonstrating the need for it to be viewed as a public health issue rather than solely a matter for the criminal justice system. A new study by researchers at the University of Warwick and Birmingham also discovered survivors ...,Health
423,Mark Zuckerberg calls for Facebook to be regulated so hard it ‘HURTS’ them in open letter,"BILLIONAIRE Facebook chief Mark Zuckerberg has called for his apps to be regulated so hard that it ""hurts"". The Harvard drop-out, 35, said that Facebook needed more oversight – and said tech giants ""should serve society"". Mark Zuckerberg has been repeatedly slammed for privacy and security failings – and Facebook's inability to keep its ...",ScienceAndTechnology
319,Sheffield university dental student Helena Usher in finals of top competition,"Helena Usher from the University of Sheffield Dental School won the city heat of a dental skills competition run by the Royal College of Surgeons of Edinburgh’s (RCSEd’s) Faculty of Dental Surgery, sponsored by Dentsply Sirona. Aiming to discover the UK and Ireland’s best undergraduate dentist, heats have take place in 18 UK and Irish ...",Health
437,Apple warns of coronavirus causing iPhone shortages,Company hit by shutdown in China and says it will fail to meet quarterly revenue target,ScienceAndTechnology
685,Mum and son forced to flee home as they 'lose everything' in Storm Dennis flooding,"A mother and her son have been forced to move into a hotel after raw sewage and flood water wrecked their home during Storm Dennis. Philip Ash, 62, and his mother Hazel Diana, 83, have been left picking up the pieces after water and sewage flooded their Barton under Needwood home at the weekend. The deluge during the storm which battered the ...",UK
142,Watch this space - vacant supermarket building has new owner,"The supermarket at 26 Mill Street has been closed since November 2017. At the sale on Thursday, February 13, senior auction appraiser Audrey Smith described the atmosphere as 'electric' as investors, developers and potential owner-occupiers bid against each other. In the end the building sold for £161,000, far above its freehold guide price of ...",Business
75,Furious shareholders blast Nissan bosses,"Shareholders livid about the performance of struggling Japanese car giant Nissan on Tuesday blasted bosses over dividends, executive pay, the stock price, and even the type of vehicle they use. Shareholders voted to approve new chief executive Makoto ...",Business
243,Coronavirus may be spreading undetected outside China,"The coronavirus may be spreading undetected outside China meaning that containment of the disease is no longer possible, experts have said. Japan, South Korea and Singapore have all reported cases of the disease, now called Covid-19, where there has been no direct link between the infected person and China. The number of cases in all three ...",Health
336,£17 million to make journeys in West Sussex quicker and greener,Department for Transport investing £17 million in the A2300 improvement at Burgess Hill the £22 million road scheme will cut traffic jams and support thousands of new homes to be built in the area latest investment by government to improve journeys in the region Communities in West Sussex are set to benefit from quicker and safer journeys ...,Politics
542,Jurgen Klopp rates Sadio Mane’s impact in Liverpool FC’s 1-0 win at Norwich,Jurgen Klopp has admitted that he was delighted with Sadio Mane’s influence from the bench in Liverpool FC’s 1-0 victory over Norwich City at Carrow Road on Saturday evening. The Senegal international started the Premier League clash on the bench following his return from injury after Mane missed the few weeks following his injury at Wolves.,Sports
97,Thor Mining's broad portfolio of assets starts to mature,"Tungsten, molybdenum and copper estimates rise at Molyhil Preparing a mineral resource estimate at Bonya tungsten deposits Kapunda copper project looks amenable to in-situ extraction Financing talks for Molyhil ongoing Thor Mining PLC (ASX:THR)(LON:THR) specialises in exploration and the development of base metals resources in Australia and the ...",Business
456,Just Eat takeaway 'confident' £6bn merger will be cleared by watchdog,"JUST Eat Takeaway.com said it is ""confident"" its multi-billion-pound merger will be cleared by the competition watchdog as it issued new company shares. The food delivery giant was formed after the merger of the UK's Just Eat and Dutch competitor Takeaway which was confirmed last month and worth roughly £6 billion. But the Competition and ...",ScienceAndTechnology
398,Public consultation event for Hambleton crematorium plan,"A public consultation event for the Hambleton district’s proposed new crematorium on land near Busby Stoop, near Thirsk, is taking place next week. The drop-in session at Sandhutton and Breckenbrough village hall on Wednesday 26 February between 1 and 7pm is for anyone with an interest in this new development. The crematorium plans and ...",Politics
24,"McCarrick was a ‘devourer of souls,’ former priest secretary tells parish","A priest who was the personal secretary of former cardinal Theodore McCarrick said he is sickened by manipulative fundraising tactics employed while McCarrick was Archbishop of Washington. The priest called McCarrick a “manipulator” and a “devourer of souls.” “For a portion of my priesthood, I worked directly for the foremost fund ...",World
637,You can now live in Sir Keir Starmer’s old student house in Hyde Park,"There is a room available in Keir Starmer's old student house in Hyde Park, The Leeds Tab can reveal, so you can live where the Labour leader candidate once did. When it comes to Leeds alumni, most of the emphasis seems to be on Corinne Bailey Rae and Chris Pine, but our humble university was actually the alma mater of two of the recent Labour ...",UK
113,SPONSORED: Mergers and acquisition to support energy transition in key year,"Stefano Vincini, Corporate Finance Associate Director at Johnston Carmichael, warns against an immediate divestment from fossil fuels in this opinion piece. With COP26 scheduled to take place in Glasgow this year and Prime Minister Boris Johnson promising 2020 will be a defining year of climate action for the planet, the race to become net-zero ...",Business
99,Chinese firm Jingye to axe 10pc of British Steel workforce,"British Steel bidder Jingye is set to axe 400 jobs at the embattled firm's Scunthorpe plant as it closes in on a takeover. The Chinese business, which is hoping to take on the steel factory and its related divisions within weeks, has begun sending out new contracts to staff detailing updated terms and conditions. However, 10pc of British ...",Business
110,Brewed by the sun: Heineken and Iberdrola toast Spanish solar deal,"Heineken is set to power its entire Spanish brewing operations with renewable electricty sourced from a 50MW solar farm in Andalusia, the beer behemoth has announced. The new solar PV plant, which is expected to come online in October this year, forms part of a long-term power purchase agreement (PPA) announced today with Spanish energy utility ...",Business
221,Lady Gaga proposes to herself in Klarna campaign,"Lady Gaga proposed to herself on Valentine’s Day in defiant response to the old tradition that women can propose to men every February 29 th. Klarna’s collaboration with Bea Åkerlund, announced last week and modelled by Lady Gaga, saw the release of a pair of limited edition rings that “give the finger to the leap year tradition”.",Entertainment
272,"What Does A Mediterranean Diet Look Like IRL? Breakfast, Lunch And Dinner Ideas To Try","Now, a study published in the journal Gut reveals that following this type of diet for a year boosts the types of gut bacteria linked to ‘healthy’ ageing, while reducing those associated with harmful inflammation. Researchers believe following this diet could help slow down frailty and cognitive decline. The diet is rich in fruit and ...",Health
255,Poultry Health Market will be growing at a CAGR of 7.1% during the forecast 2018 to 2026,"The latest market report published by Credence Research, Inc. “Poultry Health Market – Growth, Future Prospects, Competitive Analysis, 2018 – 2026,” the global poultry health market was valued at US$ 6,152.1 Mn in 2017 and expected to reach US$ 11,506.3 Mn by 2026, expanding at a CAGR of 7.1% from 2018 to 2026. Poultry considered as ...",Health
348,Saracens: Barnet Council considered ending £22.9m stadium redevelopment loan,"Barnet Council ""considered"" terminating its £22.9m loan to redevelop Saracens' stadium after the club's relegation but instead have frozen further payments. Saracens will be relegated from the Premiership in June for persistently breaching salary cap rules. The council put a ""temporary stop"" on the loan - to fund a new West Stand at Allianz ...",Politics
321,Fit for February event offers free drop-in health checks,"The latest news, sport, entertainment, jobs, motors and property from the Maidenhead Advertiser, covering East Berkshire and South Bucks. The Rotary Club of Maidenhead Bridge welcomed more than 100 people to its Fit for February event on Saturday. Using a unit in the Nicholsons Centre, the Rotary Club teamed up with Diabetes UK, Sport in Mind ...",Health
6,Turkish mother fights to free cadet son from life sentence,"Wearing a colourful headscarf and long coat to guard against a bitter Ankara frost, Turkish mother Melek Cetinkaya would not usually catch the attention of the police. But when she dons a vest calling for justice for her imprisoned son Furkan Cetinkaya, it is only minutes before two female police officers silently grab her and bundle her into a ...",World
125,JAL signs alliance with Bell to investigate “flying cars”,"Less than a month after revealing it would conduct tests with experimental drones in a mountainous area of southern Japan, JAL - Japan Airlines (JL, Tokyo Haneda) has announced it will work with Fort Worth-based aerospace manufacturer Bell Textron and the general trading firm Sumitomo Corporation in the field of “flying cars”. Market ...",Business
695,Worthing police car damaged in ‘mindless act’,"The window of an emergency response vehicle which was parked outside Worthing police station has been smashed. A spokesman for Adur and Worthing Police posted about the damage on social media this morning, calling such damage ‘a mindless act’. The window was smashed while the car was parked in Chatsworth Road outside the police station.",UK
575,Stevenage hire ex-Bulls boss Russell Slade as ‘managerial consultant’,"League Two Stevenage have brought in former Hereford manager Russell Slade as a ‘managerial consultant’ to boost their battle for survival. The appointment of Slade, pictured, by new Stevenage manager Alex Revell Slade was announced on Monday, less than a month after his Edgar Street exit. A Stevenage FC statement read: “New Stevenage ...",Sports
